Test Set,Setting,Service,Slot,Mapping,Categorical,Accuracy,F1,Recall,Precision
v2.1,desc,restaurant,restaurant-area,Non-mapping,Categorical,0.7885241454150841,0.6081930133199297,0.469356089992242,0.8636688079942898
v2.1,desc,restaurant,restaurant-food,Mapping,Non-categorical,0.762072707542051,0.4785969084423306,0.3207171314741036,0.9426229508196722
v2.1,desc,restaurant,restaurant-name,Mapping,Non-categorical,0.7107976125881714,0.2201901975128017,0.1262054507337526,0.8624641833810889
v2.1,desc,restaurant,restaurant-bookday,Non-mapping,Categorical,0.9525230602278894,0.8700816629547142,0.7897574123989218,0.968595041322314
v2.1,desc,restaurant,restaurant-bookpeople,Mapping,Categorical,0.7944926749864352,0.61867606342814,0.4611632270168855,0.9396024464831804
v2.1,desc,restaurant,restaurant-booktime,Mapping,Non-categorical,0.8373575691806837,0.658501851324409,0.4931740614334471,0.9905741216795202
v2.1,desc,taxi,taxi-leaveat,Non-mapping,Non-categorical,0.6346988605534455,0.1121002307945928,0.0619533527696793,0.5882352941176471
v2.1,desc,taxi,taxi-destination,Mapping,Non-categorical,0.9206456863809008,0.2332896461336828,0.1498316498316498,0.5266272189349113
v2.1,desc,taxi,taxi-departure,Non-mapping,Non-categorical,0.9160336408030384,0.0606980273141122,0.0505050505050505,0.0760456273764258
v2.1,desc,taxi,taxi-arriveby,Non-mapping,Non-categorical,0.967444384156267,0.0,0.0,0.0
v2.1,original,hotel,hotel-pricerange,Non-mapping,Categorical,0.8545651878985212,0.5694779116465863,0.4428482198625859,0.7975253093363329
v2.1,original,hotel,hotel-type,Non-mapping,Categorical,0.7993487993487993,0.0987202925045703,0.1379897785349233,0.0768500948766603
v2.1,original,hotel,hotel-parking,Non-mapping,Categorical,0.8308234974901642,0.0280592361652377,0.0237467018469656,0.0342857142857142
v2.1,original,hotel,hotel-bookday,Non-mapping,Categorical,0.938135938135938,0.7790697674418605,0.7369385884509624,0.8263103802672148
v2.1,original,hotel,hotel-bookpeople,Mapping,Categorical,0.9009632342965675,0.5633971291866029,0.7246153846153847,0.4608610567514677
v2.1,original,hotel,hotel-bookstay,Mapping,Categorical,0.9648622981956316,0.8634686346863468,0.8206412825651302,0.9110122358175752
v2.1,original,hotel,hotel-stars,Mapping,Categorical,0.9032695699362366,0.7005459890802185,0.6587677725118484,0.747982062780269
v2.1,original,hotel,hotel-internet,Non-mapping,Categorical,0.8477818477818477,0.0157894736842105,0.0205949656750572,0.0128022759601706
v2.1,original,hotel,hotel-name,Mapping,Non-categorical,0.7701804368471035,0.2193548387096774,0.1406619385342789,0.497907949790795
v2.1,original,hotel,hotel-area,Non-mapping,Categorical,0.7745217745217745,0.3502736512900703,0.2531073446327683,0.5685279187817259
v2.1,original,train,train-destination,Mapping,Categorical,0.6181497558328811,0.5806643825413378,0.4472234970169803,0.8276008492569003
v2.1,original,train,train-arriveby,Non-mapping,Non-categorical,0.7643787303309821,0.1096873398257303,0.1706539074960127,0.0808157099697885
