Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,joint_map_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_noncat_accuracy
nocross,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3340175150519978,0.4509172037679722,0.7179869777536625,0.8293543136190993,0.3944655453065653,0.3944655453065653,,0.7981551817688551,0.2807921866521975,0.3229788388497016,0.7981551817688551,0.057037037037037
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,
nocross,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.3610746178945561,0.3971582613354765,0.7155067155067155,0.8222764889431556,0.6604259937593271,0.6604259937593271,,0.7701804368471035,0.6415683082349749,0.6522859856193189,0.7701804368471035,0.1696364932287954
nocross,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8544492674986435,0.8559413998914813,0.8913456321215409,0.5569665822533393,0.6812491934443154,0.6189636462289745,0.8288117200217038,0.7689907759088442,0.7689907759088442,,0.6432447097124254,0.6003798155181769,0.6951980466630494,0.6432447097124254,0.4408900394477318
nocross,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.1552440290758047,,0.3883613673358654,,0.5823385784047749,,0.5823385784047749,0.3883613673358654,0.301953336950624,,0.301953336950624,0.1552440290758047
nocross,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.9158979924036896,0.9210526315789472,0.9397721106890938,0.5693502824858757,0.6520140303236027,0.4511665762344004,0.4511665762344004,0.6620998372219208,0.8958220293000543,0.7023874118285405,,0.3463103635377103,0.4142702116115029,0.7023874118285405,0.2838367987446057
nofuzzy,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9330271495843264,0.9372517101718892,0.965796562215375,0.4463386961559762,0.5578121298270553,0.0888497015735214,0.2642430819316332,0.1233043950081389,0.2032013022246337,0.5463917525773195,0.158166033640803,0.0283505154639175,0.0887140531741725,0.1072978838849701,0.2694650015417822
nofuzzy,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9330271495843264,0.9372517101718892,0.965796562215375,0.4463386961559762,0.5578121298270553,0.0888497015735214,0.2642430819316332,0.1233043950081389,0.2032013022246337,0.5463917525773195,0.158166033640803,0.0283505154639175,0.0887140531741725,0.1072978838849701,0.2694650015417822
nofuzzy,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.970971242539338,0.9774823657080848,0.98290830168204,0.3340175150519978,0.4509172037679722,0.7179869777536625,0.8293543136190993,0.3944655453065653,0.3944655453065653,,0.7981551817688551,0.2807921866521975,0.3229788388497016,0.7981551817688551,0.057037037037037
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,
nofuzzy,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9723239723239724,0.9753086419753086,0.9811423144756478,0.3610746178945561,0.3971582613354765,0.7155067155067155,0.8222764889431556,0.6604259937593271,0.6604259937593271,,0.7701804368471035,0.6415683082349749,0.6522859856193189,0.7701804368471035,0.1696364932287954
nofuzzy,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8544492674986435,0.8559413998914813,0.8913456321215409,0.5569665822533393,0.6812491934443154,0.6189636462289745,0.8288117200217038,0.7689907759088442,0.7689907759088442,,0.6432447097124254,0.6003798155181769,0.6951980466630494,0.6432447097124254,0.4408900394477318
nofuzzy,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8175529028757461,0.8309820944112859,0.9654096581660336,0.1552440290758047,,0.3883613673358654,,0.5823385784047749,,0.5823385784047749,0.3883613673358654,0.301953336950624,,0.301953336950624,0.1552440290758047
nofuzzy,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.9158979924036896,0.9210526315789472,0.9397721106890938,0.5693502824858757,0.6520140303236027,0.4511665762344004,0.4511665762344004,0.6620998372219208,0.8958220293000543,0.7023874118285405,,0.3463103635377103,0.4142702116115029,0.7023874118285405,0.2838367987446057
